distribuidora,subestacion,tension_kv,provincia,n_eventos_hist,años_distintos,trimestre_patron,concentracion_pct,avg_delta_mw,max_delta_mw,ultimo_evento,ventana_inicio,ventana_fin,estado_ventana,confianza,fechas_historicas,proyectos_ids,proyectos_estados
UFD,ALARCOS,132.0,CIUDAD REAL,2,2,1,100.0,22.5,25.0,2026-02-01,2027-01-01,2027-03-31,en 221d,0.66,2025-01-27|2026-02-01,,
Endesa,IZNALLOZ,66.0,Granada,2,2,4,100.0,22.2,23.0,2025-10-01,2026-10-01,2026-12-31,en 129d,0.66,2021-11-01|2025-10-01,,
Endesa,OLIVERA,45.0,Zaragoza,2,2,4,100.0,21.1,34.7,2025-10-01,2026-10-01,2026-12-31,en 129d,0.66,2021-11-01|2025-10-01,,
iDE,LA PLANA    132.00,132.0,CASTELLÓN,2,2,1,100.0,20.8,36.2,2026-01-01,2027-01-01,2027-03-31,en 221d,0.66,2025-01-30|2026-01-01,,
Endesa,LANCHA,20.0,Córdoba,2,2,2,100.0,20.6,35.0,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.66,2022-04-01|2026-05-01,,
iDE,ST ORMAIZTEG30.000,30.0,GUIPÚZCOA,2,2,4,100.0,19.0,30.0,2025-10-03,2026-10-01,2026-12-31,en 129d,0.66,2023-12-21|2025-10-03,,
Endesa,ARVINA,15.0,Cádiz,2,2,1,100.0,18.2,31.3,2026-03-01,2027-01-01,2027-03-31,en 221d,0.66,2022-03-01|2026-03-01,,
Endesa,CASILLAS,20.0,Córdoba,2,2,4,100.0,17.7,24.6,2025-10-01,2026-10-01,2026-12-31,en 129d,0.66,2021-10-01|2025-10-01,,
Endesa,CANRUTI,110.0,Barcelona,2,2,2,100.0,17.4,18.8,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.66,2022-04-01|2026-05-01,,
UFD,AEROPUERTO CIUDAD REAL,45.0,CIUDAD REAL,2,2,1,100.0,17.0,22.0,2025-02-25,2027-01-01,2027-03-31,en 221d,0.66,2022-02-27|2025-02-25,,
iDE,LA SERNA    66.000,66.0,NAVARRA,2,2,4,100.0,17.0,24.2,2025-10-03,2026-10-01,2026-12-31,en 129d,0.66,2024-10-29|2025-10-03,,
Endesa,CANRUTI,25.0,Barcelona,2,2,2,100.0,16.5,18.5,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.66,2022-04-01|2026-05-01,,
UFD,CERRO DE LA PLATA NUEVA,45.0,MADRID,2,2,1,100.0,16.4,16.8,2025-01-27,2027-01-01,2027-03-31,en 221d,0.66,2022-02-27|2025-01-27,,
REE,CACERES,220.0,,2,2,1,100.0,16.0,17.0,2026-03-02,2027-01-01,2027-03-31,en 221d,0.66,2025-01-02|2026-03-02,,
Endesa,S.CELONI,25.0,Barcelona,2,2,2,100.0,15.8,25.3,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.66,2022-04-01|2026-05-01,,
